entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,regime,holding_candles,equity
2025-12-22T12:00:00+00:00,2025-12-22T20:00:00+00:00,LONG,89688.5,88492.95,-211.95,SL,bull,2,18340.46
2025-12-22T20:00:00+00:00,2025-12-23T04:00:00+00:00,SHORT,88581.5,87531.3,165.84,TRAIL_TP,neutral,2,18506.3
2025-12-23T04:00:00+00:00,2025-12-23T12:00:00+00:00,SHORT,87531.3,86599.09,147.75,TP,neutral,2,18654.05
2025-12-23T12:00:00+00:00,2025-12-23T20:00:00+00:00,SHORT,87405.3,87463.0,-21.9,TIME_EXIT_LOSS,neutral,1,18632.15
2025-12-23T20:00:00+00:00,2025-12-24T12:00:00+00:00,SHORT,87463.0,86531.52,147.75,TP,neutral,4,18779.9
2025-12-24T12:00:00+00:00,2025-12-24T20:00:00+00:00,SHORT,87012.0,87627.3,-118.07,TIME_EXIT_LOSS,bear,1,18661.83
2025-12-24T20:00:00+00:00,2025-12-25T04:00:00+00:00,SHORT,87627.3,87795.9,-40.86,TIME_EXIT_LOSS,bear,1,18620.97
2025-12-25T04:00:00+00:00,2025-12-25T12:00:00+00:00,SHORT,87795.9,88338.9,-104.77,TIME_EXIT_LOSS,neutral,1,18516.2
2025-12-25T12:00:00+00:00,2025-12-25T20:00:00+00:00,SHORT,88338.9,87182.8,184.31,TRAIL_TP,neutral,2,18700.51
2025-12-25T20:00:00+00:00,2025-12-26T04:00:00+00:00,SHORT,87182.8,88344.95,-211.95,SL,neutral,2,18488.56
2025-12-26T04:00:00+00:00,2025-12-26T12:00:00+00:00,SHORT,88433.0,87100.0,214.1,TRAIL_TP,neutral,2,18702.66
2025-12-26T12:00:00+00:00,2025-12-26T20:00:00+00:00,SHORT,87100.0,87318.2,-49.58,TIME_EXIT_LOSS,neutral,1,18653.08
2025-12-26T20:00:00+00:00,2025-12-27T04:00:00+00:00,SHORT,87318.2,87490.9,-41.67,TIME_EXIT_LOSS,neutral,1,18611.41
2025-12-27T04:00:00+00:00,2025-12-27T12:00:00+00:00,SHORT,87490.9,87516.2,-16.34,TIME_EXIT_LOSS,neutral,1,18595.07
2025-12-27T12:00:00+00:00,2025-12-27T20:00:00+00:00,SHORT,87516.2,87829.4,-65.68,TIME_EXIT_LOSS,neutral,1,18529.39
2025-12-27T20:00:00+00:00,2025-12-28T20:00:00+00:00,SHORT,87829.4,87920.5,-27.56,MAX_HOLD_EXIT,neutral,6,18501.83
2025-12-28T20:00:00+00:00,2025-12-29T04:00:00+00:00,SHORT,87920.5,89092.48,-211.95,SL,neutral,2,18289.88
2025-12-29T04:00:00+00:00,2025-12-29T12:00:00+00:00,LONG,89583.0,88388.86,-211.95,SL,bull,2,18077.93
2025-12-29T12:00:00+00:00,2025-12-30T12:00:00+00:00,SHORT,87636.6,88220.7,-111.97,HALF_RISK_SL,neutral,6,17965.96
2025-12-30T12:00:00+00:00,2025-12-30T20:00:00+00:00,SHORT,88966.8,88019.3,147.75,TP,neutral,2,18113.71
2025-12-30T20:00:00+00:00,2025-12-31T12:00:00+00:00,LONG,88455.3,87865.75,-111.97,HALF_RISK_SL,bull,4,18001.74
2025-12-31T12:00:00+00:00,2026-01-01T12:00:00+00:00,SHORT,87909.0,87986.8,-25.28,MAX_HOLD_EXIT,neutral,6,17976.46
2026-01-01T12:00:00+00:00,2026-01-01T20:00:00+00:00,SHORT,87986.8,88800.0,-150.63,TIME_EXIT_LOSS,neutral,1,17825.83
2026-01-01T20:00:00+00:00,2026-01-02T08:00:00+00:00,LONG,88800.0,89745.72,147.75,TP,bull,3,17973.58
2026-01-02T08:00:00+00:00,2026-01-02T16:00:00+00:00,LONG,89458.3,90411.03,147.75,TP,bull,2,18121.33
2026-01-02T16:00:00+00:00,2026-01-03T04:00:00+00:00,LONG,89865.0,89266.05,-111.97,HALF_RISK_SL,bull,3,18009.36
2026-01-03T04:00:00+00:00,2026-01-03T20:00:00+00:00,LONG,89535.9,90595.8,165.57,TRAIL_TP,bull,4,18174.93
