entry_time,exit_time,side,entry_price,exit_price,initial_sl,final_sl,tp,pnl_usd,equity,exit_type,gate,fgi,regime,bcd_conf,breakeven_locked,holding_candles,notional,leverage,actual_move_pct
2026-02-14T12:00:00+00:00,2026-02-15T00:00:00+00:00,SHORT,69754.2,69258.95,70684.02,70684.02,69258.95,94.5,12002.3,TP,ADVISORY,9.0,neutral,1.0,False,3,15000.0,15.0,0.71
2026-02-15T12:00:00+00:00,2026-02-15T20:00:00+00:00,SHORT,69068.1,68577.72,69988.78,69988.78,68577.72,94.5,12096.8,TP,ADVISORY,8.0,neutral,1.0,False,2,15000.0,15.0,0.71
2026-02-15T20:00:00+00:00,2026-02-16T04:00:00+00:00,SHORT,68796.9,68308.44,69713.96,69713.96,68308.44,94.5,12191.3,TP,ADVISORY,8.0,bear,1.0,False,2,15000.0,15.0,0.71
2026-02-16T04:00:00+00:00,2026-02-16T12:00:00+00:00,SHORT,68552.4,69466.2,69466.2,69466.2,68065.68,-211.95,11979.35,SL,ADVISORY,12.0,bear,1.0,False,2,15000.0,15.0,-1.333
2026-02-16T12:00:00+00:00,2026-02-16T20:00:00+00:00,SHORT,67505.5,68405.35,68405.35,68405.35,67026.21,-211.95,11767.4,SL,ADVISORY,12.0,bear,1.0,False,2,15000.0,15.0,-1.333
2026-02-17T20:00:00+00:00,2026-02-18T08:00:00+00:00,SHORT,67475.9,68375.35,68375.35,68375.35,66996.82,-211.95,11555.45,SL,ADVISORY,10.0,neutral,1.0,False,3,15000.0,15.0,-1.333
2026-02-18T08:00:00+00:00,2026-02-18T16:00:00+00:00,SHORT,67345.4,66138.2,68243.11,68243.11,66867.25,256.88,11812.33,TRAIL_TP,ADVISORY,8.0,bear,1.0,False,2,15000.0,15.0,1.7926
2026-02-18T16:00:00+00:00,2026-02-19T04:00:00+00:00,SHORT,66138.2,67019.82,67019.82,67019.82,65668.62,-211.95,11600.38,SL,ADVISORY,8.0,bear,1.0,False,3,15000.0,15.0,-1.333
2026-02-19T04:00:00+00:00,2026-02-19T12:00:00+00:00,SHORT,67180.4,66362.7,68075.91,68075.91,66703.42,170.58,11770.96,TRAIL_TP,ADVISORY,9.0,bear,1.0,False,2,15000.0,15.0,1.2172
2026-02-19T12:00:00+00:00,2026-02-20T00:00:00+00:00,SHORT,66362.7,67247.31,67247.31,67247.31,65891.52,-211.95,11559.01,SL,ADVISORY,9.0,bear,1.0,False,3,15000.0,15.0,-1.333
