model,entry_time,exit_time,side,entry_price,exit_price,sl,tp,sl_pct,tp_pct,notional,leverage,pnl_usd,equity,exit_type,gate,regime,bcd_conf,holding_candles,actual_move_pct,vol_regime,heston_sl_mult,heston_tp_mult
GOLDEN,2026-01-11T20:00:00+00:00,2026-01-12T04:00:00+00:00,LONG,90964.4,91610.25,89751.84,91610.25,0.01333,0.0071,15000.0,15.0,94.5,10700.3,TP,ACTIVE,bull,1.0,2,0.71,N/A,,
GOLDEN,2026-01-12T00:00:00+00:00,2026-01-12T08:00:00+00:00,LONG,91766.2,90542.96,90542.96,92417.74,0.01333,0.0071,15000.0,15.0,-211.95,10488.35,SL,ACTIVE,bull,1.0,2,-1.333,N/A,,
GOLDEN,2026-01-12T04:00:00+00:00,2026-01-12T12:00:00+00:00,LONG,91369.2,90151.25,90151.25,92017.92,0.01333,0.0071,15000.0,15.0,-211.95,10276.4,SL,ACTIVE,bull,1.0,2,-1.333,N/A,,
GOLDEN,2026-01-12T08:00:00+00:00,2026-01-12T16:00:00+00:00,LONG,90573.9,91821.9,89366.55,91216.97,0.01333,0.0071,15000.0,15.0,194.68,10471.08,TRAIL_TP,ACTIVE,bull,1.0,2,1.3779,N/A,,
GOLDEN,2026-01-12T12:00:00+00:00,2026-01-13T08:00:00+00:00,LONG,91618.7,92269.19,90397.42,92269.19,0.01333,0.0071,15000.0,15.0,94.5,10565.58,TP,ACTIVE,bull,1.0,5,0.71,N/A,,
GOLDEN,2026-01-13T04:00:00+00:00,2026-01-13T12:00:00+00:00,LONG,91908.0,93407.9,90682.87,92560.55,0.01333,0.0071,15000.0,15.0,232.79,10798.37,TRAIL_TP,ACTIVE,bull,1.0,2,1.632,N/A,,
GOLDEN,2026-01-13T08:00:00+00:00,2026-01-13T16:00:00+00:00,LONG,91962.1,94179.5,90736.25,92615.03,0.01333,0.0071,15000.0,15.0,349.68,11148.05,TRAIL_TP,ACTIVE,bull,1.0,2,2.4112,N/A,,
GOLDEN,2026-01-13T12:00:00+00:00,2026-01-13T20:00:00+00:00,LONG,93407.9,95375.2,92162.77,94071.1,0.01333,0.0071,15000.0,15.0,303.92,11451.97,TRAIL_TP,ACTIVE,bull,1.0,2,2.1061,N/A,,
GOLDEN,2026-01-13T16:00:00+00:00,2026-01-14T00:00:00+00:00,LONG,94179.5,95665.7,92924.09,94848.17,0.01333,0.0071,15000.0,15.0,224.71,11676.68,TRAIL_TP,ACTIVE,bull,1.0,2,1.5781,N/A,,
GOLDEN,2026-01-13T20:00:00+00:00,2026-01-14T12:00:00+00:00,LONG,95375.2,96691.9,94103.85,96052.36,0.01333,0.0071,15000.0,15.0,195.08,11871.76,TRAIL_TP,ACTIVE,bull,1.0,4,1.3805,N/A,,
