model,entry_time,exit_time,side,entry_price,exit_price,sl,tp,sl_pct,tp_pct,notional,leverage,pnl_usd,equity,exit_type,gate,regime,bcd_conf,holding_candles,actual_move_pct,vol_regime,heston_sl_mult,heston_tp_mult
HESTON,2021-08-23T16:00:00+00:00,2021-08-24T16:00:00+00:00,LONG,49287.3,47962.6,47962.6,51053.56,0.026877,0.035836,175183.57,1,-4848.56,230572.18,SL,ADVISORY,bull,1.0,6,-2.6877,Normal,1.5,2.0
HESTON,2021-08-25T12:00:00+00:00,2021-08-26T04:00:00+00:00,LONG,48811.99,47458.31,47458.31,50616.9,0.027733,0.036977,166282.31,1,-4744.47,225827.71,SL,ADVISORY,bull,1.0,4,-2.7733,Normal,1.5,2.0
HESTON,2021-08-27T12:00:00+00:00,2021-08-28T12:00:00+00:00,LONG,48199.56,48840.0,46759.93,50119.06,0.029868,0.039824,151216.88,1,1888.28,227715.99,TIME_EXIT,ADVISORY,bull,1.0,6,1.3287,Normal,1.5,2.0
HESTON,2021-08-28T08:00:00+00:00,2021-08-29T08:00:00+00:00,LONG,48707.73,48188.0,47439.83,50398.27,0.026031,0.034708,349916.73,2,-4013.68,223702.31,TIME_EXIT,ADVISORY,bull,1.0,6,-1.067,Normal,1.5,2.0
HESTON,2021-08-29T04:00:00+00:00,2021-08-30T04:00:00+00:00,LONG,48498.0,47981.01,47220.66,50201.13,0.026338,0.035117,169869.81,1,-1946.71,221755.6,TIME_EXIT,ADVISORY,bull,1.0,6,-1.066,Normal,1.5,2.0
HESTON,2021-08-30T20:00:00+00:00,2021-08-31T20:00:00+00:00,SHORT,47024.7,47150.32,48311.91,45308.42,0.027373,0.036497,162024.59,1,-562.45,221193.15,TIME_EXIT,ADVISORY,bear,1.0,6,-0.2671,Normal,1.5,2.0
HESTON,2021-08-31T16:00:00+00:00,2021-09-01T16:00:00+00:00,SHORT,47344.02,48621.65,48621.65,45640.51,0.026986,0.035982,163930.6,1,-4555.01,216638.14,SL,ADVISORY,bear,1.0,6,-2.6986,Normal,1.5,2.0
HESTON,2021-09-02T04:00:00+00:00,2021-09-03T00:00:00+00:00,LONG,49891.07,48550.03,48550.03,51679.12,0.026879,0.035839,161193.49,1,-4461.72,212176.42,SL,ADVISORY,bull,1.0,5,-2.6879,Normal,1.5,2.0
HESTON,2021-09-03T20:00:00+00:00,2021-09-04T20:00:00+00:00,LONG,50027.08,49940.74,48702.55,51793.12,0.026476,0.035302,160276.33,1,-404.84,211771.58,TIME_EXIT,ADVISORY,bull,1.0,6,-0.1726,Normal,1.5,2.0
HESTON,2021-09-04T16:00:00+00:00,2021-09-05T16:00:00+00:00,LONG,50000.0,50723.01,48774.99,51633.35,0.0245,0.032667,172873.5,1,2361.49,214133.07,TIME_EXIT,ADVISORY,bull,1.0,6,1.446,Normal,1.5,2.0
