config,entry_time,exit_time,side,size,entry_price,exit_price,pnl_pct,exit_type,holding_minutes,l1_regime,l4_volatility_bucket,exhaustion_bucket
baseline,2026-02-07 08:00:00+00:00,2026-02-07 12:00:00+00:00,1.0,1.0,67935.1,68417.43921000001,0.007100000000000106,TP,11.0,bull,low,low
baseline,2026-02-07 12:00:00+00:00,2026-02-07 16:00:00+00:00,-1.0,1.0,69122.1,68631.33309,0.007100000000000106,TP,1.0,bull,low,low
baseline,2026-02-07 16:00:00+00:00,2026-02-07 20:00:00+00:00,-1.0,1.0,69341.4,68849.07605999999,0.007099999999999995,TP,56.0,bull,low,low
baseline,2026-02-08 00:00:00+00:00,2026-02-08 04:00:00+00:00,1.0,1.0,69064.7,69555.05937,0.007100000000000106,TP,141.0,bull,low,low
baseline,2026-02-08 04:00:00+00:00,2026-02-08 08:00:00+00:00,1.0,1.0,69665.0,70954.0,0.018502834996052542,TIME_EXIT,240.0,bull,low,low
baseline,2026-02-08 08:00:00+00:00,2026-02-08 12:00:00+00:00,-1.0,1.0,70954.0,70450.2266,0.007100000000000106,TP,1.0,bull,low,low
baseline,2026-02-08 12:00:00+00:00,2026-02-08 16:00:00+00:00,-1.0,1.0,71152.6,71381.0,-0.00321000216436218,TIME_EXIT,240.0,bull,low,low
baseline,2026-02-08 16:00:00+00:00,2026-02-08 20:00:00+00:00,-1.0,1.0,71381.0,70874.1949,0.007099999999999995,TP,40.0,bull,low,low
baseline,2026-02-08 20:00:00+00:00,2026-02-09 00:00:00+00:00,-1.0,1.0,70288.1,71225.04037300001,-0.013330000000000064,SL,1.0,bull,low,low
baseline,2026-02-09 00:00:00+00:00,2026-02-09 04:00:00+00:00,-1.0,1.0,71269.9,70763.88371,0.007099999999999995,TP,1.0,bull,low,low
baseline,2026-02-09 04:00:00+00:00,2026-02-09 08:00:00+00:00,-1.0,1.0,70393.5,68899.9,0.02121786812702886,TIME_EXIT,240.0,bull,low,low
baseline,2026-02-09 08:00:00+00:00,2026-02-09 12:00:00+00:00,-1.0,1.0,68899.9,69818.33566699999,-0.013330000000000064,SL,1.0,bull,low,low
baseline,2026-02-09 12:00:00+00:00,2026-02-09 16:00:00+00:00,-1.0,1.0,69528.9,69035.24480999999,0.007100000000000106,TP,1.0,bull,low,low
baseline,2026-02-09 16:00:00+00:00,2026-02-09 20:00:00+00:00,-1.0,1.0,70912.7,70409.21983,0.007099999999999884,TP,1.0,bull,low,low
baseline,2026-02-09 20:00:00+00:00,2026-02-10 00:00:00+00:00,-1.0,1.0,70110.5,71045.072965,-0.013330000000000064,SL,8.0,bull,low,low
baseline,2026-02-10 00:00:00+00:00,2026-02-10 04:00:00+00:00,-1.0,1.0,69473.3,70399.37908900001,-0.013330000000000064,SL,87.0,bull,low,low
baseline,2026-02-10 04:00:00+00:00,2026-02-10 08:00:00+00:00,1.0,1.0,68882.1,69371.16291000001,0.007100000000000106,TP,1.0,bull,low,low
baseline,2026-02-10 08:00:00+00:00,2026-02-10 12:00:00+00:00,1.0,1.0,68489.9,68976.17829,0.007100000000000106,TP,23.0,bull,low,low
baseline,2026-02-10 12:00:00+00:00,2026-02-10 16:00:00+00:00,-1.0,1.0,69251.5,68759.81435,0.007099999999999995,TP,1.0,bull,low,low
baseline,2026-02-10 16:00:00+00:00,2026-02-10 20:00:00+00:00,-1.0,1.0,69031.4,69951.588562,-0.013330000000000064,SL,101.0,bull,low,low
baseline,2026-02-10 20:00:00+00:00,2026-02-11 00:00:00+00:00,-1.0,1.0,68805.3,68143.6,0.009616991714301082,TIME_EXIT,240.0,bull,low,low
baseline,2026-02-11 00:00:00+00:00,2026-02-11 04:00:00+00:00,-1.0,1.0,68143.6,69051.954188,-0.013330000000000064,SL,22.0,bull,low,low
baseline,2026-02-11 04:00:00+00:00,2026-02-11 08:00:00+00:00,1.0,0.5,67000.0,67475.70000000001,0.003550000000000053,TP,1.0,bull,low,high
baseline,2026-02-11 08:00:00+00:00,2026-02-11 12:00:00+00:00,1.0,1.0,67023.0,66489.3,-0.007962938095877448,TIME_EXIT,240.0,bull,low,low
baseline,2026-02-11 12:00:00+00:00,2026-02-11 16:00:00+00:00,-1.0,1.0,66489.3,67375.602369,-0.013330000000000064,SL,22.0,bull,low,low
baseline,2026-02-11 16:00:00+00:00,2026-02-11 20:00:00+00:00,-1.0,1.0,67547.7,67068.11133,0.007099999999999995,TP,1.0,bull,low,low
baseline,2026-02-11 20:00:00+00:00,2026-02-12 00:00:00+00:00,-1.0,1.0,67054.4,67948.235152,-0.013330000000000064,SL,84.0,bull,low,low
baseline,2026-02-12 00:00:00+00:00,2026-02-12 04:00:00+00:00,-1.0,1.0,67550.2,67070.59358,0.007099999999999995,TP,1.0,bull,low,low
baseline,2026-02-12 04:00:00+00:00,2026-02-12 08:00:00+00:00,1.0,1.0,67181.5,67658.48865000001,0.007100000000000106,TP,13.0,bull,low,low
baseline,2026-02-12 08:00:00+00:00,2026-02-12 12:00:00+00:00,-1.0,1.0,68031.8,67548.77422,0.007099999999999995,TP,1.0,bull,low,low
baseline,2026-02-12 12:00:00+00:00,2026-02-12 16:00:00+00:00,-1.0,1.0,67107.0,68001.53631000001,-0.013330000000000064,SL,1.0,bull,low,low
baseline,2026-02-12 16:00:00+00:00,2026-02-12 20:00:00+00:00,1.0,0.5,65760.7,66227.60097,0.003550000000000053,TP,1.0,bear,low,mid
baseline,2026-02-13 00:00:00+00:00,2026-02-13 04:00:00+00:00,-1.0,1.0,66519.6,66047.31084,0.007099999999999995,TP,25.0,bear,low,low
baseline,2026-02-13 04:00:00+00:00,2026-02-13 08:00:00+00:00,-1.0,1.0,66183.3,67137.8,-0.0144220671982207,TIME_EXIT,240.0,bear,low,low
baseline,2026-02-13 08:00:00+00:00,2026-02-13 12:00:00+00:00,-1.0,1.0,67137.8,66661.12162,0.007099999999999995,TP,1.0,bear,low,low
baseline,2026-02-13 12:00:00+00:00,2026-02-13 16:00:00+00:00,-1.0,1.0,68652.0,68164.5708,0.007099999999999995,TP,1.0,bear,low,low
baseline,2026-02-13 16:00:00+00:00,2026-02-13 20:00:00+00:00,-1.0,1.0,68904.2,68821.5,0.0012002171130351957,TIME_EXIT,240.0,bear,low,low
baseline,2026-02-13 20:00:00+00:00,2026-02-14 00:00:00+00:00,-1.0,1.0,68821.5,68947.7,-0.0018337292851797748,TIME_EXIT,240.0,bear,low,low
baseline,2026-02-14 08:00:00+00:00,2026-02-14 12:00:00+00:00,-1.0,1.0,70464.8,69964.49992,0.007099999999999995,TP,1.0,bear,low,low
