entry_time,exit_time,side,entry_price,exit_price,initial_sl,sl,tp,risk_usd,pnl_usd,equity,exit_type,gate,fgi,regime,trail_count,final_sl,tp_extension_factor,holding_duration
2025-03-17T08:00:00+00:00,2025-03-18T12:00:00+00:00,LONG,83475.0,81604.58,81604.58,81604.58,87010.09,333.99,-334.25,16365.0,SL,ACTIVE,32.0,bull,0,81604.58,1.5,6
2025-03-18T08:00:00+00:00,2025-03-19T12:00:00+00:00,SHORT,82550.0,84372.04,84372.04,84372.04,80254.23,327.3,-327.56,16037.44,SL,ACTIVE,34.0,neutral,0,84372.04,1.0,6
2025-03-19T16:00:00+00:00,2025-03-20T08:00:00+00:00,LONG,85382.5,85382.5,83522.53,85382.5,88897.84,320.75,-0.26,16037.18,TRAIL_SL,ACTIVE,32.0,bull,1,85382.5,1.5,3
2025-03-20T04:00:00+00:00,2025-03-20T16:00:00+00:00,LONG,85764.7,83852.7,83852.7,83852.7,89378.37,320.74,-321.0,15716.18,SL,ACTIVE,49.0,bull,0,83852.7,1.5,2
2025-03-20T12:00:00+00:00,2025-03-24T12:00:00+00:00,LONG,84642.1,88457.81,82623.21,85315.06,88457.81,314.32,593.82,16310.0,TP,ADVISORY,49.0,bull,2,85315.06,1.5,23
2025-03-24T08:00:00+00:00,2025-03-25T00:00:00+00:00,LONG,87643.5,86358.47,86358.47,86358.47,90072.21,326.2,-326.46,15983.54,SL,ACTIVE,45.0,bull,0,86358.47,1.5,3
2025-03-25T20:00:00+00:00,2025-03-26T16:00:00+00:00,LONG,87369.8,85863.34,85863.34,85863.34,90217.0,319.67,-319.93,15663.61,SL,ACTIVE,46.0,bull,0,85863.34,1.5,4
2025-03-26T12:00:00+00:00,2025-03-28T04:00:00+00:00,LONG,86696.9,85168.56,85168.56,85168.56,89585.46,313.27,-313.52,15350.09,SL,ACTIVE,47.0,bull,0,85168.56,1.5,9
2025-03-28T00:00:00+00:00,2025-03-28T08:00:00+00:00,LONG,86746.8,85291.79,85291.79,85291.79,89496.78,307.0,-307.25,15042.84,SL,ACTIVE,44.0,bull,0,85291.79,1.5,1
2025-03-28T04:00:00+00:00,2025-03-29T08:00:00+00:00,SHORT,85175.1,83247.05,86705.29,85175.1,83247.05,300.86,378.84,15421.68,TP,ACTIVE,44.0,neutral,1,85175.1,1.0,6
2025-03-29T04:00:00+00:00,2025-03-29T16:00:00+00:00,SHORT,83696.0,81867.61,85147.11,83696.0,81867.61,308.43,388.38,15810.06,TP,ACTIVE,26.0,neutral,1,83696.0,1.0,2
2025-03-29T12:00:00+00:00,2025-04-01T08:00:00+00:00,SHORT,82377.3,83901.81,83901.81,83901.81,80456.42,316.2,-316.45,15493.61,SL,ACTIVE,26.0,neutral,0,83901.81,1.0,16
2025-04-01T04:00:00+00:00,2025-04-01T12:00:00+00:00,SHORT,83415.2,84916.08,84916.08,84916.08,81524.09,309.87,-310.12,15183.49,SL,ACTIVE,34.0,neutral,0,84916.08,1.0,1
2025-04-01T08:00:00+00:00,2025-04-01T16:00:00+00:00,SHORT,83879.9,85388.62,85388.62,85388.62,81978.91,303.67,-303.91,14879.57,SL,ACTIVE,34.0,neutral,0,85388.62,1.0,1
2025-04-01T20:00:00+00:00,2025-04-02T12:00:00+00:00,SHORT,85120.9,86775.73,86775.73,86775.73,83035.81,297.59,-297.83,14581.74,SL,ACTIVE,34.0,neutral,0,86775.73,1.0,3
2025-04-02T08:00:00+00:00,2025-04-02T16:00:00+00:00,SHORT,84528.4,86135.17,86135.17,86135.17,82503.87,291.63,-291.87,14289.88,SL,ACTIVE,44.0,neutral,0,86135.17,1.0,1
2025-04-03T12:00:00+00:00,2025-04-04T08:00:00+00:00,SHORT,82001.8,84234.35,84234.35,84234.35,77782.28,285.8,-286.03,14003.85,SL,ADVISORY,25.0,bear,0,84234.35,1.5,4
2025-04-04T08:00:00+00:00,2025-04-06T20:00:00+00:00,SHORT,82633.7,78296.16,84928.7,81868.7,78296.16,280.08,529.12,14532.97,TP,ADVISORY,28.0,bear,1,81868.7,1.5,14
2025-04-06T16:00:00+00:00,2025-04-07T04:00:00+00:00,SHORT,79572.6,75888.8,81521.7,79572.6,75888.8,290.66,549.11,15082.09,TP,ADVISORY,34.0,bear,1,79572.6,1.5,2
2025-04-07T00:00:00+00:00,2025-04-07T12:00:00+00:00,SHORT,77669.6,77669.6,79837.91,77669.6,73571.5,301.64,-0.24,15081.84,TRAIL_SL,ADVISORY,23.0,bear,1,77669.6,1.5,2
