signal_time,entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,holding_candles,bcd_conf,regime,gate,entry_mode,limit_px,miss_reason,execution_resolution
2025-07-28T12:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,118743.56,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-28T16:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,118640.25,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-28T20:00:00+00:00,2025-07-29T00:00:00+00:00,2025-07-29T12:00:00+00:00,SHORT,118631.61,117345.7,150.59,TRAIL_TP,3,0.9333,neutral,ACTIVE,pullback,118631.61,,4H_OHLC_APPROX
2025-07-29T16:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,118072.32,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-29T20:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,118486.48,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-30T00:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,118697.03,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-30T04:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,118673.52,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-30T08:00:00+00:00,2025-07-30T12:00:00+00:00,2025-07-30T16:00:00+00:00,SHORT,118114.33,116865.2,146.63,TRAIL_TP,1,0.9333,neutral,ACTIVE,pullback,118114.33,,4H_OHLC_APPROX
2025-07-30T20:00:00+00:00,2025-07-31T00:00:00+00:00,2025-07-31T16:00:00+00:00,SHORT,118359.85,116718.9,195.96,TRAIL_TP,4,0.9333,neutral,ACTIVE,pullback,118359.85,,4H_OHLC_APPROX
2025-07-31T20:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,116275.79,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-01T00:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,116173.68,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-01T04:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,115590.18,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-01T08:00:00+00:00,2025-08-01T12:00:00+00:00,2025-08-01T16:00:00+00:00,SHORT,115822.83,113278.5,317.51,TRAIL_TP,1,0.9333,neutral,ACTIVE,pullback,115822.83,,4H_OHLC_APPROX
2025-08-01T20:00:00+00:00,2025-08-02T00:00:00+00:00,2025-08-02T12:00:00+00:00,SHORT,113811.02,112798.6,121.43,TRAIL_TP,3,0.9333,bear,ACTIVE,pullback,113811.02,,4H_OHLC_APPROX
2025-08-02T16:00:00+00:00,2025-08-02T20:00:00+00:00,2025-08-03T00:00:00+00:00,SHORT,112736.38,111935.95,94.5,TP,1,0.9333,bear,ACTIVE,pullback,112736.38,,4H_OHLC_APPROX
2025-08-03T04:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,114215.44,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-03T08:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,114379.15,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-03T12:00:00+00:00,2025-08-03T16:00:00+00:00,2025-08-04T16:00:00+00:00,SHORT,114473.82,114724.0,-44.78,TIME_EXIT,6,0.9333,bear,ACTIVE,pullback,114473.82,,4H_OHLC_APPROX
2025-08-04T20:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,115577.11,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-05T00:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,114786.07,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-05T04:00:00+00:00,2025-08-05T08:00:00+00:00,2025-08-05T12:00:00+00:00,SHORT,114494.32,112871.8,200.57,TRAIL_TP,1,0.9333,bear,ACTIVE,pullback,114494.32,,4H_OHLC_APPROX
2025-08-05T16:00:00+00:00,2025-08-05T20:00:00+00:00,2025-08-06T04:00:00+00:00,SHORT,114140.97,113330.56,94.5,TP,2,0.9333,bear,ACTIVE,pullback,114140.97,,4H_OHLC_APPROX
2025-08-06T08:00:00+00:00,2025-08-06T12:00:00+00:00,2025-08-07T08:00:00+00:00,SHORT,114758.94,116288.68,-211.95,SL,5,0.9333,bear,ACTIVE,pullback,114758.94,,4H_OHLC_APPROX
2025-08-07T12:00:00+00:00,2025-08-07T16:00:00+00:00,2025-08-08T04:00:00+00:00,SHORT,117217.77,116385.53,94.5,TP,3,0.9333,neutral,ACTIVE,pullback,117217.77,,4H_OHLC_APPROX
2025-08-10T08:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,117704.42,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-10T12:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,118172.17,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-10T16:00:00+00:00,2025-08-10T20:00:00+00:00,2025-08-11T00:00:00+00:00,LONG,118031.38,121700.1,454.24,TRAIL_TP,1,0.9333,bull,ACTIVE,pullback,118031.38,,4H_OHLC_APPROX
2025-08-11T04:00:00+00:00,2025-08-11T08:00:00+00:00,2025-08-11T16:00:00+00:00,LONG,120927.13,119315.17,-211.95,SL,2,0.9333,bull,ACTIVE,pullback,120927.13,,4H_OHLC_APPROX
2025-08-11T20:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,118048.69,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
