entry_time,exit_time,side,entry_price,exit_price,sl,initial_tp,pnl_usd,equity,exit_type,gate,fgi,regime,bcd_conf,notional,leverage,entry_to_sl_pct,entry_to_tp_pct,actual_move_pct
2026-01-18T04:00:00+00:00,2026-01-18T08:00:00+00:00,LONG,94989.9,95133.4,93723.68,95664.33,10.66,9801.99,TIME_EXIT,ACTIVE,49.0,bull,1.0,15000.0,15.0,1.333,0.71,0.1511
2026-01-18T08:00:00+00:00,2026-01-18T12:00:00+00:00,LONG,95133.4,95067.8,93865.27,95808.85,-22.34,9779.65,TIME_EXIT,ACTIVE,49.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.069
2026-01-18T12:00:00+00:00,2026-01-18T16:00:00+00:00,LONG,95067.8,95335.6,93800.55,95742.78,30.25,9809.9,TIME_EXIT,ACTIVE,49.0,bull,1.0,15000.0,15.0,1.333,0.71,0.2817
2026-01-18T16:00:00+00:00,2026-01-18T20:00:00+00:00,LONG,95335.6,94064.78,94064.78,96012.48,-211.95,9597.95,SL,ACTIVE,49.0,bull,1.0,15000.0,15.0,1.333,0.71,-1.333
2026-01-18T20:00:00+00:00,2026-01-19T00:00:00+00:00,LONG,93614.0,92366.13,92366.13,94278.66,-211.95,9386.0,SL,ACTIVE,49.0,bull,1.0,15000.0,15.0,1.333,0.71,-1.333
2026-01-19T00:00:00+00:00,2026-01-19T04:00:00+00:00,LONG,92656.6,92787.9,91421.49,93314.46,9.26,9395.26,TIME_EXIT,ACTIVE,44.0,bull,1.0,15000.0,15.0,1.333,0.71,0.1417
2026-01-19T04:00:00+00:00,2026-01-19T08:00:00+00:00,LONG,92787.9,93136.7,91551.04,93446.69,44.39,9439.65,TIME_EXIT,ACTIVE,44.0,bull,1.0,15000.0,15.0,1.333,0.71,0.3759
2026-01-19T08:00:00+00:00,2026-01-19T12:00:00+00:00,LONG,93136.7,93013.5,91895.19,93797.97,-31.84,9407.81,TIME_EXIT,ACTIVE,44.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.1323
2026-01-19T12:00:00+00:00,2026-01-19T16:00:00+00:00,LONG,93013.5,93066.2,91773.63,93673.9,-3.5,9404.31,TIME_EXIT,ACTIVE,44.0,bull,1.0,15000.0,15.0,1.333,0.71,0.0567
2026-01-19T16:00:00+00:00,2026-01-19T20:00:00+00:00,LONG,93066.2,92589.6,91825.63,93726.97,-88.82,9315.49,TIME_EXIT,ACTIVE,44.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.5121
2026-01-19T20:00:00+00:00,2026-01-20T00:00:00+00:00,LONG,92589.6,92397.0,91355.38,93246.99,-43.2,9272.29,TIME_EXIT,ACTIVE,44.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.208
2026-01-20T00:00:00+00:00,2026-01-20T04:00:00+00:00,LONG,92397.0,91165.35,91165.35,93053.02,-211.95,9060.34,SL,ACTIVE,32.0,bull,1.0,15000.0,15.0,1.333,0.71,-1.333
2026-01-20T04:00:00+00:00,2026-01-20T08:00:00+00:00,SHORT,91136.1,91185.8,92350.94,90489.03,-20.18,9040.16,TIME_EXIT,ACTIVE,32.0,neutral,1.0,15000.0,15.0,1.333,0.71,-0.0545
2026-01-20T08:00:00+00:00,2026-01-20T12:00:00+00:00,SHORT,91185.8,90538.38,92401.31,90538.38,94.5,9134.66,TP,ACTIVE,32.0,neutral,1.0,15000.0,15.0,1.333,0.71,0.71
2026-01-20T12:00:00+00:00,2026-01-20T16:00:00+00:00,SHORT,90644.2,89694.1,91852.49,90000.63,145.22,9279.88,TRAIL_TP,ACTIVE,32.0,neutral,1.0,15000.0,15.0,1.333,0.71,1.0482
2026-01-20T16:00:00+00:00,2026-01-20T20:00:00+00:00,SHORT,89694.1,88390.6,90889.72,89057.27,205.99,9485.87,TRAIL_TP,ACTIVE,32.0,neutral,1.0,15000.0,15.0,1.333,0.71,1.4533
2026-01-20T20:00:00+00:00,2026-01-21T00:00:00+00:00,SHORT,88390.6,89396.0,89568.85,87763.03,-182.62,9303.25,TIME_EXIT,ACTIVE,32.0,bear,1.0,15000.0,15.0,1.333,0.71,-1.1375
2026-01-21T00:00:00+00:00,2026-01-21T04:00:00+00:00,SHORT,89396.0,89171.3,90587.65,88761.29,25.7,9328.95,TIME_EXIT,ACTIVE,24.0,neutral,1.0,15000.0,15.0,1.333,0.71,0.2514
2026-01-21T04:00:00+00:00,2026-01-21T08:00:00+00:00,SHORT,89171.3,88757.1,90359.95,88538.18,57.67,9386.62,TIME_EXIT,ACTIVE,24.0,neutral,1.0,15000.0,15.0,1.333,0.71,0.4645
2026-01-21T08:00:00+00:00,2026-01-21T12:00:00+00:00,SHORT,88757.1,89940.23,89940.23,88126.92,-211.95,9174.67,SL,ACTIVE,24.0,neutral,1.0,15000.0,15.0,1.333,0.71,-1.333
2026-01-21T12:00:00+00:00,2026-01-21T16:00:00+00:00,SHORT,90237.1,89596.42,91439.96,89596.42,94.5,9269.17,TP,ACTIVE,24.0,neutral,1.0,15000.0,15.0,1.333,0.71,0.71
2026-01-21T16:00:00+00:00,2026-01-21T20:00:00+00:00,SHORT,90321.9,89411.4,91525.89,89680.61,139.21,9408.38,TRAIL_TP,ACTIVE,24.0,neutral,1.0,15000.0,15.0,1.333,0.71,1.0081
2026-01-21T20:00:00+00:00,2026-01-22T00:00:00+00:00,SHORT,89411.4,89857.0,90603.25,88776.58,-86.76,9321.62,TIME_EXIT,ACTIVE,24.0,bear,1.0,15000.0,15.0,1.333,0.71,-0.4984
2026-01-22T00:00:00+00:00,2026-01-22T04:00:00+00:00,SHORT,89857.0,89772.6,91054.79,89219.02,2.09,9323.71,TIME_EXIT,ACTIVE,20.0,bear,1.0,15000.0,15.0,1.333,0.71,0.0939
