date,pnl,n_trades
2023-07-24,438.28,2
2023-07-25,-53.88,1
2023-07-26,-115.45,1
2023-07-27,94.5,1
2023-07-28,-58.32,1
2023-07-30,110.86,2
2023-07-31,123.3,1
2023-08-01,76.24000000000001,3
2023-08-02,-211.95,1
2023-08-03,-75.77,1
2023-08-04,94.5,1
2023-08-05,10.37,1
2023-08-07,46.14,2
2023-08-08,-117.44999999999999,2
2023-08-09,94.5,1
2023-08-10,-27.97,1
2023-08-11,94.5,1
2023-08-12,-9.35,1
2023-08-14,94.5,1
2023-08-15,104.28999999999999,2
2023-08-16,94.5,1
2023-08-17,1121.59,3
2023-08-20,-17.46,1
2023-08-21,189.0,2
2023-08-22,189.0,2
2023-08-23,-117.44999999999999,2
2023-08-24,-211.95,1
2023-08-25,94.5,1
2023-08-26,-47.3,1
2023-08-27,-60.11,1
2023-08-29,-262.2,2
2023-08-30,-211.95,1
2023-08-31,-117.44999999999999,2
2023-09-01,94.5,1
2023-09-02,-47.01,1
2023-09-04,104.99,3
2023-09-06,30.93,2
2023-09-07,-121.64,1
2023-09-08,223.4,1
2023-09-09,-42.26,1
2023-09-10,94.5,1
2023-09-11,298.74,3
2023-09-12,189.0,2
2023-09-13,94.5,1
2023-09-14,280.51,2
2023-09-15,-211.95,1
2023-09-16,-36.93,1
2023-09-18,141.88,3
2023-09-19,42.07000000000002,2
2023-09-20,-211.95,1
2023-09-21,-211.95,1
2023-09-22,17.47,1
2023-09-23,27.19,1
2023-09-24,-211.95,1
2023-09-26,-121.11,1
2023-09-27,248.31,2
2023-09-28,-211.95,1
2023-09-29,94.5,1
2023-10-02,-22.94999999999999,3
2023-10-03,-117.44999999999999,2
2023-10-04,201.73000000000002,2
2023-10-05,-211.95,1
2023-10-06,242.51,2
2023-10-08,73.51,1
2023-10-09,35.28,2
2023-10-10,94.5,1
2023-10-11,322.57,2
2023-10-12,94.5,1
2023-10-13,-211.95,1
2023-10-15,-197.86999999999998,2
2023-10-16,-423.9,2
2023-10-18,94.5,1
2023-10-19,140.06,2
2023-10-20,654.03,3
2023-10-21,189.0,2
2023-10-22,94.5,1
2023-10-23,286.04,3
2023-10-31,-211.95,1
2023-11-01,-211.95,1
2023-11-02,-117.44999999999999,2
2023-11-04,94.5,1
2023-11-05,-117.44999999999999,2
2023-11-06,99.54,1
2023-11-07,97.82999999999998,2
2023-11-08,94.5,1
2023-11-09,434.24,2
2023-11-10,142.99,1
2023-11-11,-117.44999999999999,2
2023-11-13,-117.44999999999999,2
2023-11-14,-117.44999999999999,2
2023-11-15,712.3,2
2023-11-18,94.5,1
2023-11-19,144.23,1
2023-11-20,-211.95,1
