entry_time,exit_time,side,entry,exit,exit_type,size_usd,net_pnl,equity
2023-06-14 16:00:00,2023-06-14 20:00:00,LONG,25860.5,25447.83342215512,SL,34967.04565483082,-585.957088805328,27313.215525267708
2023-06-14 20:00:00,2023-06-16 08:00:00,LONG,25115.9,25780.549096379378,TP,27523.134379649102,706.3339065034208,28019.549431771127
2023-06-16 08:00:00,2023-06-16 12:00:00,LONG,25462.8,26070.094906936003,TP,31328.269022636363,722.1253696291241,28741.67480140025
2023-06-16 12:00:00,2023-06-17 00:00:00,LONG,25832.4,26504.01669929772,TP,29479.768878729312,742.8608462676916,29484.535647667944
2023-06-17 00:00:00,2023-06-19 12:00:00,LONG,26253.4,26936.82131499894,TP,30203.693921903803,762.0913288002877,30246.626976468233
2023-06-19 12:00:00,2023-06-19 20:00:00,LONG,26431.1,26943.263056833828,TP,41624.84904553149,773.2768401360587,31019.903816604292
2023-06-19 20:00:00,2023-06-20 12:00:00,LONG,26828.5,27405.025288800596,TP,38493.48297279897,796.4026487312044,31816.306465335496
2023-06-20 12:00:00,2023-06-20 16:00:00,LONG,27054.2,27661.90691830055,TP,37771.04576579368,818.2180024629733,32634.52446779847
2023-06-20 16:00:00,2023-06-20 20:00:00,LONG,27973.8,28704.056424136223,TP,33336.661128301756,843.5846569053191,33478.10912470379
2023-06-20 20:00:00,2023-06-21 04:00:00,LONG,28290.6,29046.152393840777,TP,33427.756141481994,866.0073717455792,34344.11649644937
2023-06-21 04:00:00,2023-06-21 08:00:00,LONG,28860.4,29672.009972240267,TP,32566.872385699862,889.789608663426,35233.9061051128
2023-06-21 08:00:00,2023-06-21 12:00:00,LONG,28913.5,29730.080688508817,TP,33268.336565098856,912.9561602175959,36146.8622653304
2023-06-21 12:00:00,2023-06-23 08:00:00,LONG,29837.0,30760.982067901045,TP,31126.547202679263,939.0150893133371,37085.87735464374
2023-06-23 08:00:00,2023-06-23 12:00:00,LONG,30125.3,31028.413051921023,TP,32988.802563027646,962.5656874067469,38048.44304205049
2023-06-23 12:00:00,2023-06-23 20:00:00,LONG,31232.9,30432.63555312643,SL,29699.263070618523,-784.7282712975046,37263.71477075298
2023-06-23 20:00:00,2023-06-28 12:00:00,LONG,30673.4,29846.03652284881,SL,27630.052817531956,-767.3783376690853,36496.336433083896
2023-06-28 12:00:00,2023-06-29 16:00:00,LONG,30399.8,30571.5,REGIME_FLIP,37922.11984929995,183.8488441019038,36680.1852771858
2023-07-23 16:00:00,2023-07-23 20:00:00,SHORT,30083.1,29657.06810691973,TP,69068.61197543966,922.8833844779422,37603.06866166375
2023-07-23 20:00:00,2023-07-24 00:00:00,SHORT,30070.8,29642.91324213975,TP,70470.63029889956,946.3719934052488,38549.440655069
2023-07-24 00:00:00,2023-07-24 04:00:00,SHORT,29705.6,29245.205153415485,TP,66327.6618794214,974.9229546316344,39524.36360970063
2023-07-24 04:00:00,2023-07-24 08:00:00,SHORT,29816.4,29357.00478531438,TP,68407.28548953914,999.2572012003822,40523.62081090101
2023-07-24 08:00:00,2023-07-31 16:00:00,SHORT,29259.6,29146.5,REGIME_FLIP,56714.33199134346,173.85200117410102,40697.47281207511
