date,pnl,n_trades
2024-06-15,-96.57,1
2024-06-17,94.5,1
2024-06-18,134.52,1
2024-06-19,3.37,1
2024-06-20,-211.95,1
2024-06-21,231.07,2
2024-06-23,0.71,1
2024-06-24,447.61,1
2024-06-25,-211.95,1
2024-06-26,168.61,1
2024-06-27,94.5,1
2024-06-28,98.87,1
2024-06-29,-148.4,1
2024-06-30,-211.95,1
2024-07-01,213.0,2
2024-07-03,535.8,2
2024-07-14,526.96,2
2024-07-16,-211.95,1
2024-07-18,-117.44999999999999,2
2024-07-21,449.39,2
2024-07-22,-211.95,1
2024-07-23,-423.9,2
2024-07-24,-117.44999999999999,2
2024-07-25,-211.95,1
2024-07-26,211.97,1
2024-07-27,-211.95,1
2024-07-28,94.5,1
2024-07-29,-211.95,1
2024-07-31,456.87,1
2024-08-11,-211.95,1
2024-08-19,-117.44999999999999,2
2024-08-23,94.5,1
2024-08-25,94.5,1
2024-08-26,-211.95,1
2024-08-27,-211.95,1
2024-09-01,303.63,1
2024-09-03,-211.95,1
2024-09-04,253.55,1
2024-09-05,273.28,1
2024-09-11,166.13,1
2024-09-12,94.5,1
2024-09-13,273.92,1
2024-09-15,-179.5,2
2024-09-16,-211.95,1
2024-09-17,-117.38999999999999,2
2024-09-18,-211.95,1
2024-09-19,581.23,1
2024-09-21,-0.93,1
2024-09-22,155.06,1
2024-09-23,-211.95,1
2024-09-24,383.27,2
2024-09-25,-211.95,1
2024-09-26,231.76,1
2024-09-27,95.28,1
2024-09-28,189.0,2
2024-09-29,96.54,1
2024-09-30,-74.07999999999998,2
2024-10-01,226.55,1
2024-10-02,-423.9,2
2024-10-05,-109.51,1
2024-10-06,-211.95,1
2024-10-07,94.5,1
2024-10-08,189.0,2
2024-10-10,94.5,1
2024-10-11,-423.9,2
2024-10-13,94.5,1
2024-10-14,320.63,2
2024-10-15,145.19,1
2024-10-16,94.5,1
2024-10-18,94.5,1
2024-10-19,-56.75,1
2024-10-21,-117.44999999999999,2
2024-10-22,94.5,1
2024-10-23,203.5,2
2024-10-24,-211.95,1
2024-10-25,94.5,1
2024-10-26,94.5,1
2024-10-27,-211.95,1
2024-10-29,293.07,1
2024-10-30,94.5,1
2024-10-31,-211.95,1
2024-11-01,-211.95,1
2024-11-03,-211.95,1
2024-11-04,94.5,1
2024-11-05,-117.44999999999999,2
2024-11-10,94.5,1
2024-11-18,116.63,1
2024-11-19,322.38,1
2024-11-24,-211.95,1
2024-11-25,-117.44999999999999,2
2024-12-02,94.5,1
2024-12-03,94.5,1
2024-12-04,-211.95,1
2024-12-08,94.5,1
2024-12-09,-211.95,1
2024-12-11,177.94,1
2024-12-15,94.5,1
2024-12-16,512.56,2
2024-12-17,197.26999999999998,2
2024-12-18,-423.9,2
2024-12-19,141.15,1
2024-12-25,94.5,1
2024-12-26,100.33,1
2024-12-27,347.25,1
2024-12-29,94.5,1
2024-12-30,338.46000000000004,2
2024-12-31,-211.95,1
2025-01-02,-423.9,2
2025-01-03,-211.95,1
2025-01-04,94.5,1
2025-01-05,94.5,1
2025-01-06,492.27,1
2025-01-07,-211.95,1
2025-01-08,294.73,2
2025-01-09,153.24,1
2025-01-10,-30.339999999999975,2
2025-01-11,94.5,1
2025-01-12,94.5,1
2025-01-13,599.33,1
2025-01-18,-117.44999999999999,2
2025-01-19,94.5,1
2025-01-20,-211.95,1
2025-01-26,94.5,1
2025-01-27,581.26,1
2025-01-28,94.5,1
2025-01-30,94.5,1
2025-02-02,363.74,2
2025-02-06,94.5,1
2025-02-07,-211.95,1
2025-02-09,94.5,1
