Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type
BTC,Close Short,2026-03-15 05:40:07,15.041733,0.000210,71627.300000,-0.012566,0.0000,Taker,trade
BTC,Open Short,2026-03-15 05:36:10,5.725392,0.000080,71567.400000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-15 05:36:10,9.303775,0.000130,71567.500000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-15 05:31:43,15.034005,0.000210,71590.500000,-0.013902,0.0000,Taker,trade
BTC,Open Long,2026-03-15 05:25:41,15.047907,0.000210,71656.700000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-13 16:18:48,148.531552,0.002080,71409.400000,-1.001104,0.0000,Taker,trade
BTC,Open Long,2026-03-13 16:02:02,149.532656,0.002080,71890.700000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-13 14:23:18,120.953280,0.001640,73752.000000,0.414100,0.0000,Taker,trade
BTC,Close Long,2026-03-13 14:23:18,14.750620,0.000200,73753.100000,0.050720,0.0000,Taker,trade
BTC,Close Long,2026-03-13 14:23:18,14.750640,0.000200,73753.200000,0.050740,0.0000,Taker,trade
BTC,Open Long,2026-03-13 14:13:13,149.938980,0.002040,73499.500000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-13 08:37:23,75.672975,0.001050,72069.500000,0.576150,0.0000,Taker,trade
BTC,Open Long,2026-03-13 08:02:32,46.489365,0.000650,71522.100000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-13 08:02:32,14.303740,0.000200,71518.700000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-13 08:02:32,14.303720,0.000200,71518.600000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-13 05:33:45,76.512918,0.001070,71507.400000,0.171040,0.0000,Taker,trade
BTC,Open Long,2026-03-13 04:03:28,22.118314,0.000310,71349.400000,-,0.0000,Maker,trade
BTC,Open Long,2026-03-13 04:03:28,11.415904,0.000160,71349.400000,-,0.0000,Maker,trade
BTC,Open Long,2026-03-13 04:03:27,14.269240,0.000200,71346.200000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-13 04:03:27,14.269220,0.000200,71346.100000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-13 04:03:27,14.269200,0.000200,71346.000000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-13 00:13:17,33.341330,0.000470,70939.000000,0.252954,0.0000,Taker,trade
BTC,Close Long,2026-03-13 00:13:17,14.188320,0.000200,70941.600000,0.108160,0.0000,Taker,trade
BTC,Close Long,2026-03-13 00:13:17,14.188340,0.000200,70941.700000,0.108180,0.0000,Taker,trade
BTC,Close Long,2026-03-13 00:13:17,13.478942,0.000190,70941.800000,0.102790,0.0000,Taker,trade
BTC,Open Long,2026-03-12 20:09:09,74.624848,0.001060,70400.800000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-12 13:46:02,92.165436,0.001320,69822.300000,-0.642708,0.0000,Taker,trade
BTC,Close Long,2026-03-12 13:46:02,14.665245,0.000210,69834.500000,-0.099687,0.0000,Taker,trade
BTC,Close Long,2026-03-12 13:46:02,13.967040,0.000200,69835.200000,-0.094800,0.0000,Taker,trade
BTC,Close Long,2026-03-12 13:46:02,13.967060,0.000200,69835.300000,-0.094780,0.0000,Taker,trade
BTC,Close Long,2026-03-12 13:46:02,13.967080,0.000200,69835.400000,-0.094760,0.0000,Taker,trade
BTC,Open Long,2026-03-12 12:15:20,149.758596,0.002130,70309.200000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-12 09:45:08,150.474314,0.002140,70315.100000,1.003660,0.0000,Taker,trade
BTC,Open Long,2026-03-12 08:05:17,149.470654,0.002140,69846.100000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-12 02:18:30,73.835466,0.001060,69656.100000,-0.890718,0.0000,Taker,trade
BTC,Open Long,2026-03-11 20:01:41,74.726184,0.001060,70496.400000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-11 13:14:04,150.737328,0.002160,69785.800000,0.341928,0.0000,Taker,trade
BTC,Open Long,2026-03-11 08:08:33,29.921980,0.000430,69586.000000,-,0.0000,Maker,trade
BTC,Open Long,2026-03-11 08:08:33,45.230900,0.000650,69586.000000,-,0.0000,Maker,trade
BTC,Open Long,2026-03-11 08:06:36,75.242520,0.001080,69669.000000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-11 04:48:28,70.708888,0.001010,70008.800000,0.515908,0.0000,Taker,trade
BTC,Open Long,2026-03-11 04:08:47,45.173700,0.000650,69498.000000,-,0.0000,Maker,trade
BTC,Open Long,2026-03-11 04:08:47,25.019280,0.000360,69498.000000,-,0.0000,Maker,trade
BTC,Close Long,2026-03-10 18:14:55,9.847586,0.000140,70339.900000,-0.120162,0.0000,Taker,trade
BTC,Open Long,2026-03-10 16:05:00,9.967748,0.000140,71198.200000,-,0.0000,Taker,trade
