i,conf,label_enc,hour,dow,ret_1,ret_4,ret_8,atr_pct,vol_ratio,pred_bcd,actual,pred_lr,pred_dt
1552,0.9795918367346939,1,16,1,0.0075950634245185444,0.01307668747055346,0.015207505499569507,0.00777450550956436,1.396539104805562,0,0,0,0
1560,0.9795918367346939,1,0,3,0.009696527136444644,0.011455239711497534,0.006622244300176439,0.00916139714390732,0.8541986043891879,0,0,0,0
1568,0.9795918367346939,1,8,4,-0.00433889230732365,-0.009027878333602968,-0.01010880515131296,0.0088465556984962,1.075970082584898,0,0,0,0
1576,0.9795918367346939,1,16,5,-0.002517931311109778,0.002100625508041132,-0.006072556086265557,0.005678750746488803,0.836473719228764,0,0,0,0
1584,0.9795918367346939,1,0,0,-0.005044107726861147,-0.008276270278549713,-0.00893921128777575,0.0039511590519461836,2.6980643805816946,0,0,1,0
1592,0.9795918367346939,1,8,1,-0.0009686142447330459,0.007724436505167631,-0.014522320115808451,0.008575709026219281,0.7914130862898265,0,0,0,0
1600,0.9795918367346939,0,16,2,0.000633716358090286,0.015514194323345443,0.0038348270653256744,0.009268942022442241,0.7346735540735528,1,0,1,0
1608,0.9795918367346939,0,0,4,0.0055363544148090416,-0.015977023988443695,-0.03381884544379232,0.010513806609393904,0.5491030190970012,1,0,1,1
1616,0.9795918367346939,0,8,5,-0.0008138645948783108,0.0013737686258372683,-0.0024813397408743887,0.009426358214817201,1.1426540595589185,1,1,1,1
1624,0.9795918367346939,0,16,6,0.002651150104554967,0.008083380485624403,0.009296596007167812,0.004851864940039213,1.232928913202539,1,1,1,1
1632,0.9795918367346939,0,0,1,0.0005636411216458637,0.020253989219291002,0.036632584220758435,0.006859789528403905,0.7535290743965285,1,0,0,1
1640,0.9795918367346939,0,8,2,0.019706361241361048,0.021238029168281436,0.021127259526860787,0.008851780855981746,2.0651888031101344,1,1,1,1
1704,0.96875,1,0,6,0.0005805798744971113,-0.014090493528156944,-0.05112975139208942,0.02593385358948208,1.436710187052433,0,1,1,0
1712,0.96875,1,8,0,-0.010511376197853806,-0.001394713563108163,0.03150665245884743,0.014645356501041238,0.8922806215344369,0,0,0,1
1720,0.96875,1,16,1,-0.002473786373345943,-0.00790807556350881,-0.013891261928356768,0.016373102914887933,0.9503290463620268,0,0,0,1
1728,0.96875,1,0,3,0.005224979448775535,-0.005039296858933673,-0.011253386456307246,0.01562177045833203,0.6920776895655524,0,0,0,0
1736,0.96875,1,8,4,0.00030498691492475416,-0.02349301395360026,-0.05092588432152434,0.018215518343346532,2.1028133828238964,0,1,1,0
1744,0.96875,1,16,5,0.00121429613857571,-1.868722261155753e-05,0.013374617107200448,0.015711309051058445,0.6645851304234792,0,1,0,0
1752,0.96875,1,0,0,0.013944681736721476,0.02199746404457037,0.02875456677536592,0.010087156813235925,1.5294822517881108,0,1,0,0
1760,0.96875,1,8,1,0.004623217922606893,-0.02000812751162695,-0.014359620855146749,0.013049937878125287,0.9932038381341194,0,0,0,0
1768,0.9791666666666666,0,16,2,-0.004991238342011872,-0.0031902276053140666,-0.006361996103922407,0.017942628738889476,0.7374314616112809,1,1,1,1
1776,0.9791666666666666,0,0,4,0.003399199642993178,0.0108168487939313,0.02384238006473205,0.013661697157334363,0.6213827813396459,1,1,1,0
1784,0.9791666666666666,0,8,5,0.0006936131953405589,0.008604402769977426,0.010170299067299826,0.010258833915811377,1.0541553828057748,1,0,1,0
1792,0.9791666666666666,0,16,6,-0.0008957474871995608,0.021007084788162267,0.018145184791975133,0.007521349692340735,0.5430261965413529,1,1,1,1
1800,0.9791666666666666,0,0,1,-0.001755153461956982,-0.012475033021891235,0.002797096867092952,0.009282134197054558,0.9146571679084656,1,0,1,0
1808,0.9791666666666666,0,8,2,-0.0037652439964444007,-0.004791910515801412,-0.006845014091384494,0.010284408056428098,0.7205542716320706,1,0,1,0
1816,0.9791666666666666,1,16,3,-0.010917557810581568,-0.0379368441973178,-0.05826970097581896,0.018100095014431907,0.8870659718774031,0,1,0,1
1824,0.9791666666666666,1,0,5,0.00581704733504762,-0.001640759696201144,0.03473868750768805,0.016011349791317214,0.40984588972036184,0,1,0,0
1832,0.9791666666666666,1,8,6,0.0027182321837606604,0.008130685992616682,0.008628371989189976,0.008129248456783367,1.4935323276908237,0,0,1,0
1840,0.9791666666666666,1,16,0,0.01244717117485239,-0.007890736518176622,-0.03698488646403719,0.011797509192279286,1.1599602232512614,0,0,0,0
