idx,datetime,close,l1_tag,l1_conf,l2_aligned,l3_bias,l3_conf,actual_direction,combined_pred
752,2025-05-06 08:00:00+00:00,93770.3,neutral,0.9333331739108041,False,NEUTRAL,50.0,UP,DOWN
760,2025-05-07 16:00:00+00:00,96124.6,neutral,0.9333331573411371,False,NEUTRAL,51.2,UP,DOWN
768,2025-05-09 00:00:00+00:00,102419.5,bull,0.9333332187229323,True,NEUTRAL,75.3,UP,UP
776,2025-05-10 08:00:00+00:00,103374.6,bull,0.9333332035697242,True,NEUTRAL,60.7,UP,UP
784,2025-05-11 16:00:00+00:00,104373.8,bull,0.9333331733133488,True,NEUTRAL,55.3,DOWN,UP
792,2025-05-13 00:00:00+00:00,101681.3,bull,0.9333332134096101,False,NEUTRAL,50.2,UP,DOWN
800,2025-05-14 08:00:00+00:00,103903.4,bull,0.9333331774321688,True,NEUTRAL,50.0,DOWN,UP
808,2025-05-15 16:00:00+00:00,103107.0,bull,0.9333332108323187,True,NEUTRAL,50.0,UP,UP
816,2025-05-17 00:00:00+00:00,103464.7,bull,0.9333331880242222,True,NEUTRAL,50.0,DOWN,UP
824,2025-05-18 08:00:00+00:00,103769.0,bull,0.9333332128876413,True,NEUTRAL,50.0,DOWN,UP
832,2025-05-19 16:00:00+00:00,105457.8,neutral,0.9333332622964684,False,NEUTRAL,50.0,DOWN,DOWN
840,2025-05-21 00:00:00+00:00,106791.0,bull,0.9333332561074257,True,NEUTRAL,52.9,UP,UP
848,2025-05-22 08:00:00+00:00,110944.1,bull,0.9333332103552098,True,NEUTRAL,64.0,UP,UP
856,2025-05-23 16:00:00+00:00,108659.4,bull,0.9333332314462041,False,NEUTRAL,50.3,UP,DOWN
864,2025-05-25 00:00:00+00:00,108045.4,bull,0.9333332142905718,False,NEUTRAL,59.1,DOWN,DOWN
872,2025-05-26 08:00:00+00:00,109736.7,bull,0.9333332183133233,True,NEUTRAL,62.3,DOWN,UP
880,2025-05-27 16:00:00+00:00,109822.8,bull,0.9333332130580827,True,NEUTRAL,62.8,DOWN,UP
888,2025-05-29 00:00:00+00:00,107996.4,bull,0.9333332188887662,False,NEUTRAL,61.9,DOWN,DOWN
896,2025-05-30 08:00:00+00:00,105827.4,neutral,0.9333332423103071,True,NEUTRAL,62.2,DOWN,UP
904,2025-05-31 16:00:00+00:00,104653.9,bear,0.9333332267989854,True,NEUTRAL,63.8,DOWN,DOWN
912,2025-06-02 00:00:00+00:00,104781.8,bear,0.9333332433296817,True,NEUTRAL,51.9,DOWN,DOWN
920,2025-06-03 08:00:00+00:00,105240.1,bear,0.9333332334745169,False,NEUTRAL,50.0,UP,DOWN
928,2025-06-04 16:00:00+00:00,104870.4,bear,0.9333332518354374,True,NEUTRAL,50.0,DOWN,DOWN
936,2025-06-06 00:00:00+00:00,102444.9,bear,0.9333332609631311,True,NEUTRAL,56.8,UP,DOWN
944,2025-06-07 08:00:00+00:00,105094.5,neutral,0.9333332484434839,False,NEUTRAL,50.0,UP,DOWN
952,2025-06-08 16:00:00+00:00,106242.6,neutral,0.9333332511082765,False,NEUTRAL,53.1,UP,DOWN
960,2025-06-10 00:00:00+00:00,109525.8,bull,0.9333332490397984,True,NEUTRAL,65.7,DOWN,UP
968,2025-06-11 08:00:00+00:00,109200.1,bull,0.9333332481021047,True,NEUTRAL,63.6,DOWN,UP
976,2025-06-12 16:00:00+00:00,106749.6,neutral,0.9333332584962907,False,NEUTRAL,58.4,DOWN,DOWN
984,2025-06-14 00:00:00+00:00,105189.4,bull,0.9333332592069428,False,NEUTRAL,56.2,DOWN,DOWN
992,2025-06-15 08:00:00+00:00,104924.5,neutral,0.9333332702415517,True,NEUTRAL,66.1,UP,UP
1000,2025-06-16 16:00:00+00:00,108594.2,bull,0.9333332759089628,False,NEUTRAL,59.7,DOWN,DOWN
1008,2025-06-18 00:00:00+00:00,105132.2,neutral,0.9333332652036987,True,NEUTRAL,52.3,DOWN,UP
1016,2025-06-19 08:00:00+00:00,104717.7,bear,0.9333332578762145,True,NEUTRAL,51.1,DOWN,DOWN
1024,2025-06-20 16:00:00+00:00,103263.9,bear,0.9333332723027784,True,NEUTRAL,54.0,UP,DOWN
1032,2025-06-22 00:00:00+00:00,102340.0,bear,0.9333332611468864,True,NEUTRAL,56.4,DOWN,DOWN
1040,2025-06-23 08:00:00+00:00,101248.5,bear,0.9333332873497433,True,NEUTRAL,53.3,UP,DOWN
1048,2025-06-24 16:00:00+00:00,105582.1,neutral,0.933333290053414,False,NEUTRAL,65.2,UP,DOWN
1056,2025-06-26 00:00:00+00:00,107809.3,neutral,0.9333332748104968,False,NEUTRAL,50.0,DOWN,DOWN
1064,2025-06-27 08:00:00+00:00,106943.7,bull,0.9333332675897842,True,NEUTRAL,64.1,UP,UP
1072,2025-06-28 16:00:00+00:00,107162.5,bull,0.9333332736627424,True,NEUTRAL,61.4,UP,UP
1080,2025-06-30 00:00:00+00:00,108466.7,bull,0.9333332723021536,True,NEUTRAL,53.7,DOWN,UP
1088,2025-07-01 08:00:00+00:00,106556.8,bull,0.9333332735044413,False,NEUTRAL,63.9,DOWN,DOWN
1096,2025-07-02 16:00:00+00:00,109621.9,bull,0.9333332057527648,True,NEUTRAL,50.0,DOWN,UP
1104,2025-07-04 00:00:00+00:00,109195.6,bull,0.9333332770192757,True,NEUTRAL,55.5,DOWN,UP
1112,2025-07-05 08:00:00+00:00,108059.1,neutral,0.9333332786456408,False,NEUTRAL,52.2,DOWN,DOWN
1120,2025-07-06 16:00:00+00:00,108493.8,neutral,0.9333332797554894,False,NEUTRAL,52.1,UP,DOWN
1128,2025-07-08 00:00:00+00:00,107852.6,neutral,0.9333332820085347,False,NEUTRAL,52.9,UP,DOWN
1136,2025-07-09 08:00:00+00:00,109008.3,neutral,0.9333332859828876,False,NEUTRAL,52.0,UP,DOWN
1144,2025-07-10 16:00:00+00:00,113246.1,bull,0.9333330725252177,True,NEUTRAL,68.6,UP,UP
1152,2025-07-12 00:00:00+00:00,117730.0,bull,0.9333332840210876,True,NEUTRAL,71.7,DOWN,UP
1160,2025-07-13 08:00:00+00:00,118036.1,bull,0.933333287333092,True,NEUTRAL,61.4,UP,UP
1168,2025-07-14 16:00:00+00:00,119920.0,bull,0.9333332792458934,True,NEUTRAL,55.6,DOWN,UP
1176,2025-07-16 00:00:00+00:00,117477.6,bull,0.9333332863889865,False,NEUTRAL,57.7,UP,DOWN
1184,2025-07-17 08:00:00+00:00,117968.9,bull,0.9333332087466273,False,NEUTRAL,52.5,UP,DOWN
1192,2025-07-18 16:00:00+00:00,117361.6,bull,0.9333332874254939,False,NEUTRAL,55.2,UP,DOWN
1200,2025-07-20 00:00:00+00:00,117934.1,bull,0.933333289792626,False,NEUTRAL,68.1,UP,DOWN
1208,2025-07-21 08:00:00+00:00,118045.0,neutral,0.9333332934414917,False,NEUTRAL,66.4,DOWN,DOWN
1216,2025-07-22 16:00:00+00:00,119286.5,neutral,0.9333332883159876,False,NEUTRAL,68.1,DOWN,DOWN
1224,2025-07-24 00:00:00+00:00,118451.5,neutral,0.9333332945462863,False,NEUTRAL,71.2,UP,DOWN
1232,2025-07-25 08:00:00+00:00,116504.6,neutral,0.9333332961404412,True,NEUTRAL,63.4,UP,UP
1240,2025-07-26 16:00:00+00:00,118209.0,neutral,0.9333332897778964,False,NEUTRAL,67.6,DOWN,DOWN
1248,2025-07-28 00:00:00+00:00,119269.7,neutral,0.9333332940238999,False,NEUTRAL,57.5,DOWN,DOWN
1256,2025-07-29 08:00:00+00:00,118560.0,neutral,0.9333332938784794,False,NEUTRAL,62.3,DOWN,DOWN
1264,2025-07-30 16:00:00+00:00,116865.2,neutral,0.9333332148717567,True,NEUTRAL,60.4,UP,UP
1272,2025-08-01 00:00:00+00:00,115595.7,bear,0.9333332822203467,True,NEUTRAL,58.3,DOWN,DOWN
1280,2025-08-02 08:00:00+00:00,113732.5,bear,0.9333332959085652,True,NEUTRAL,57.4,DOWN,DOWN
1288,2025-08-03 16:00:00+00:00,114259.0,bear,0.9333332960411961,True,NEUTRAL,68.5,UP,DOWN
1296,2025-08-05 00:00:00+00:00,114215.0,bear,0.9333333014776503,True,NEUTRAL,59.7,DOWN,DOWN
1304,2025-08-06 08:00:00+00:00,114188.0,bear,0.9333332955195516,False,NEUTRAL,53.6,UP,DOWN
1312,2025-08-07 16:00:00+00:00,117407.6,neutral,0.9333333001343007,False,NEUTRAL,63.8,DOWN,DOWN
1320,2025-08-09 00:00:00+00:00,116331.5,neutral,0.9333333004907259,False,NEUTRAL,54.6,UP,DOWN
1328,2025-08-10 08:00:00+00:00,118295.9,bull,0.9333333000762233,True,NEUTRAL,57.6,UP,UP
1336,2025-08-11 16:00:00+00:00,119035.3,bull,0.9333333040814208,True,NEUTRAL,61.1,DOWN,UP
1344,2025-08-13 00:00:00+00:00,119436.0,bull,0.9333332992426253,True,NEUTRAL,55.0,UP,UP
1352,2025-08-14 08:00:00+00:00,120947.9,bull,0.9333332991856359,True,NEUTRAL,57.4,DOWN,UP
1360,2025-08-15 16:00:00+00:00,116900.0,neutral,0.9333332996419896,False,NEUTRAL,64.2,UP,DOWN
1368,2025-08-17 00:00:00+00:00,117627.4,neutral,0.9333333044859639,True,NEUTRAL,56.6,DOWN,UP
1376,2025-08-18 08:00:00+00:00,114900.0,bear,0.933333302220809,True,NEUTRAL,67.2,DOWN,DOWN
1384,2025-08-19 16:00:00+00:00,113078.3,bear,0.9333333024999231,True,NEUTRAL,66.1,UP,DOWN
1392,2025-08-21 00:00:00+00:00,113912.1,bear,0.9333333029491044,True,NEUTRAL,58.2,DOWN,DOWN
1400,2025-08-22 08:00:00+00:00,112272.8,bear,0.9333333065730097,True,NEUTRAL,62.2,UP,DOWN
1408,2025-08-23 16:00:00+00:00,115104.9,bull,0.9333333059569151,False,NEUTRAL,54.2,DOWN,DOWN
1416,2025-08-25 00:00:00+00:00,112867.7,neutral,0.933333302298504,True,NEUTRAL,58.6,DOWN,UP
1424,2025-08-26 08:00:00+00:00,109842.2,bear,0.9333333034194212,True,NEUTRAL,65.1,UP,DOWN
1432,2025-08-27 16:00:00+00:00,112032.8,neutral,0.9333333033020654,False,NEUTRAL,54.6,UP,DOWN
1440,2025-08-29 00:00:00+00:00,111648.6,neutral,0.933333305894014,True,NEUTRAL,59.0,DOWN,UP
1448,2025-08-30 08:00:00+00:00,108638.6,bear,0.9333333060224458,True,NEUTRAL,63.5,UP,DOWN
1456,2025-08-31 16:00:00+00:00,108877.2,bear,0.9333333074714375,True,NEUTRAL,56.7,DOWN,DOWN
1464,2025-09-02 00:00:00+00:00,110286.0,neutral,0.9333333077754452,False,NEUTRAL,56.2,UP,DOWN
1472,2025-09-03 08:00:00+00:00,111391.6,neutral,0.9333333078798873,False,NEUTRAL,61.7,DOWN,DOWN
1480,2025-09-04 16:00:00+00:00,109753.9,neutral,0.9333333075360126,True,NEUTRAL,56.0,UP,UP
1488,2025-09-06 00:00:00+00:00,111034.0,bull,0.9333333077225847,True,NEUTRAL,54.6,DOWN,UP
1496,2025-09-07 08:00:00+00:00,111249.5,bull,0.9333333078901095,True,NEUTRAL,55.6,DOWN,UP
1504,2025-09-08 16:00:00+00:00,112051.0,bull,0.9333333105630329,True,NEUTRAL,60.5,UP,UP
1512,2025-09-10 00:00:00+00:00,111498.9,bull,0.9333333082227753,True,NEUTRAL,55.5,UP,UP
1520,2025-09-11 08:00:00+00:00,113960.9,bull,0.9333333090219783,True,NEUTRAL,62.0,UP,UP
1528,2025-09-12 16:00:00+00:00,116561.1,bull,0.9333333105140085,True,NEUTRAL,68.6,DOWN,UP
1536,2025-09-14 00:00:00+00:00,115626.0,bull,0.9333333121923569,True,NEUTRAL,58.9,DOWN,UP
1544,2025-09-15 08:00:00+00:00,115009.0,bull,0.9333332942212191,False,NEUTRAL,58.3,UP,DOWN
1552,2025-09-16 16:00:00+00:00,116758.0,bull,0.933333310208006,True,NEUTRAL,60.1,DOWN,UP
1560,2025-09-18 00:00:00+00:00,117531.2,bull,0.9333333135083166,True,NEUTRAL,59.4,DOWN,UP
1568,2025-09-19 08:00:00+00:00,116343.1,bull,0.9333333130458605,False,NEUTRAL,56.2,DOWN,DOWN
1576,2025-09-20 16:00:00+00:00,115636.6,bull,0.9333333145615792,False,NEUTRAL,58.7,DOWN,DOWN
1584,2025-09-22 00:00:00+00:00,114602.9,neutral,0.9333331983120151,False,NEUTRAL,65.7,DOWN,DOWN
1592,2025-09-23 08:00:00+00:00,112938.6,neutral,0.9333333122529215,True,NEUTRAL,64.1,DOWN,UP
1600,2025-09-24 16:00:00+00:00,113371.7,neutral,0.9333333136895207,False,NEUTRAL,56.1,DOWN,DOWN
1608,2025-09-26 00:00:00+00:00,109537.6,bear,0.9333333124602274,True,NEUTRAL,70.0,DOWN,DOWN
1616,2025-09-27 08:00:00+00:00,109265.8,bear,0.9333333142045704,True,NEUTRAL,65.9,UP,DOWN
1624,2025-09-28 16:00:00+00:00,110281.6,bear,0.9333333150868978,False,NEUTRAL,59.3,UP,DOWN
1632,2025-09-30 00:00:00+00:00,114321.5,neutral,0.9333333142508067,False,NEUTRAL,79.3,DOWN,DOWN
1640,2025-10-01 08:00:00+00:00,116736.8,bull,0.9333331639325376,True,NEUTRAL,75.9,UP,UP
1648,2025-10-02 16:00:00+00:00,120787.9,bull,0.9333333155833328,True,NEUTRAL,81.7,DOWN,UP
1656,2025-10-04 00:00:00+00:00,122197.2,bull,0.9333333151543279,True,NEUTRAL,73.4,DOWN,UP
1664,2025-10-05 08:00:00+00:00,123413.2,bull,0.9333333148357441,True,NEUTRAL,69.6,UP,UP
1672,2025-10-06 16:00:00+00:00,125357.3,bull,0.9333333150938421,True,NEUTRAL,67.3,DOWN,UP
1680,2025-10-08 00:00:00+00:00,121333.1,bull,0.93333331374496,False,NEUTRAL,67.5,UP,DOWN
1688,2025-10-09 08:00:00+00:00,122672.9,bull,0.9333333137138871,True,NEUTRAL,57.1,DOWN,UP
1696,2025-10-10 16:00:00+00:00,116605.3,neutral,0.9333332553746883,False,NEUTRAL,80.0,DOWN,DOWN
1704,2025-10-12 00:00:00+00:00,110643.3,bear,0.9333333125416053,True,NEUTRAL,83.1,UP,DOWN
1712,2025-10-13 08:00:00+00:00,114129.3,bear,0.9333333125000716,True,NEUTRAL,74.8,DOWN,DOWN
1720,2025-10-14 16:00:00+00:00,112543.9,bear,0.9333333136988301,True,NEUTRAL,64.4,DOWN,DOWN
1728,2025-10-16 00:00:00+00:00,111277.4,bear,0.9333333145800367,True,NEUTRAL,68.9,DOWN,DOWN
1736,2025-10-17 08:00:00+00:00,105610.5,bear,0.9333332748409128,True,NEUTRAL,50.0,UP,DOWN
1744,2025-10-18 16:00:00+00:00,107023.0,bear,0.9333333161847076,True,NEUTRAL,67.7,UP,DOWN
1752,2025-10-20 00:00:00+00:00,110100.4,bear,0.9333333130226369,False,NEUTRAL,68.4,UP,DOWN
1760,2025-10-21 08:00:00+00:00,108519.4,bear,0.9333333140631683,True,NEUTRAL,69.6,DOWN,DOWN
1768,2025-10-22 16:00:00+00:00,107829.0,neutral,0.9333333071685975,True,NEUTRAL,61.5,UP,UP
1776,2025-10-24 00:00:00+00:00,110399.9,bull,0.9333333078192371,False,NEUTRAL,66.5,UP,DOWN
1784,2025-10-25 08:00:00+00:00,111522.7,bull,0.9333333179753309,True,NEUTRAL,62.9,DOWN,UP
1792,2025-10-26 16:00:00+00:00,113546.3,bull,0.9333333174596372,True,NEUTRAL,59.6,UP,UP
1800,2025-10-28 00:00:00+00:00,113863.9,bull,0.9333333159322736,True,NEUTRAL,64.7,DOWN,UP
1808,2025-10-29 08:00:00+00:00,113084.5,bull,0.933333317768252,False,NEUTRAL,65.3,DOWN,DOWN
1816,2025-10-30 16:00:00+00:00,106495.1,bear,0.9333333151535391,True,NEUTRAL,51.9,UP,DOWN
1824,2025-11-01 00:00:00+00:00,110194.6,bear,0.9333333161207515,True,NEUTRAL,71.1,UP,DOWN
1832,2025-11-02 08:00:00+00:00,111145.4,bear,0.9333333185519047,False,NEUTRAL,64.7,DOWN,DOWN
1840,2025-11-03 16:00:00+00:00,107034.7,bear,0.933333313906511,True,NEUTRAL,64.5,DOWN,DOWN
1848,2025-11-05 00:00:00+00:00,102094.8,bear,0.9333333068744213,True,NEUTRAL,53.6,UP,DOWN
1856,2025-11-06 08:00:00+00:00,103182.6,bear,0.9333333170196129,True,NEUTRAL,70.8,DOWN,DOWN
1864,2025-11-07 16:00:00+00:00,103350.0,bear,0.9333329940134636,False,NEUTRAL,74.4,DOWN,DOWN
1872,2025-11-09 00:00:00+00:00,101622.9,bear,0.9333333169288829,True,NEUTRAL,71.3,UP,DOWN
1880,2025-11-10 08:00:00+00:00,106136.6,bear,0.9333333178276316,False,NEUTRAL,69.1,UP,DOWN
1888,2025-11-11 16:00:00+00:00,103073.6,bear,0.9333333161196701,True,NEUTRAL,63.5,UP,DOWN
1896,2025-11-13 00:00:00+00:00,102088.1,bear,0.9333333167256507,True,NEUTRAL,63.7,DOWN,DOWN
1904,2025-11-14 08:00:00+00:00,96134.6,bear,0.9333333161423515,True,NEUTRAL,50.0,UP,DOWN
1912,2025-11-15 16:00:00+00:00,95967.7,bear,0.9333333180871248,True,NEUTRAL,60.1,DOWN,DOWN
1920,2025-11-17 00:00:00+00:00,95472.1,bear,0.9333333159206347,True,NEUTRAL,68.7,DOWN,DOWN
1928,2025-11-18 08:00:00+00:00,91473.6,bear,0.9333333171594776,True,NEUTRAL,65.9,UP,DOWN
1936,2025-11-19 16:00:00+00:00,88857.7,bear,0.9333333182062135,True,NEUTRAL,57.1,UP,DOWN
1944,2025-11-21 00:00:00+00:00,85782.5,bear,0.9333333163372699,True,NEUTRAL,55.4,DOWN,DOWN
1952,2025-11-22 08:00:00+00:00,84066.2,bear,0.9333333181817917,True,NEUTRAL,60.3,UP,DOWN
1960,2025-11-23 16:00:00+00:00,87276.7,bear,0.9333332895747071,False,NEUTRAL,62.5,DOWN,DOWN
1968,2025-11-25 00:00:00+00:00,87775.1,bear,0.9333333174753885,False,NEUTRAL,71.6,DOWN,DOWN
1976,2025-11-26 08:00:00+00:00,87049.2,bear,0.9333333182602208,True,NEUTRAL,68.8,UP,DOWN
1984,2025-11-27 16:00:00+00:00,91489.0,neutral,0.933333318423848,False,NEUTRAL,64.9,DOWN,DOWN
1992,2025-11-29 00:00:00+00:00,90638.0,neutral,0.9333262231589872,False,NEUTRAL,71.6,DOWN,DOWN
2000,2025-11-30 08:00:00+00:00,91000.9,bull,0.9333333183324057,True,NEUTRAL,64.9,DOWN,UP
2008,2025-12-01 16:00:00+00:00,84985.0,bear,0.9333333190827778,True,NEUTRAL,53.7,UP,DOWN
2016,2025-12-03 00:00:00+00:00,92589.2,bull,0.933333288643567,False,NEUTRAL,79.8,UP,DOWN
2024,2025-12-04 08:00:00+00:00,92894.9,bull,0.9333333191839092,True,NEUTRAL,70.6,DOWN,UP
2032,2025-12-05 16:00:00+00:00,89590.5,neutral,0.9333333159702777,False,NEUTRAL,64.7,DOWN,DOWN
2040,2025-12-07 00:00:00+00:00,89675.6,neutral,0.9333333200881533,True,NEUTRAL,61.0,UP,UP
2048,2025-12-08 08:00:00+00:00,91923.5,bull,0.9333333178735529,True,NEUTRAL,63.5,DOWN,UP
