side,entry,sl,tp,initial_sl,entry_time,entry_idx,entry_atr,risk_usd,tp_extension_factor,trail_count,master_score,gate,regime,fgi,exit_time,exit_price,pnl_usd,equity,exit_type,holding_duration
SHORT,81213.6,84066.36957752558,75508.06084494886,84066.36957752558,2025-04-11T04:00:00+00:00,5249,1901.846385017047,156.06598387083682,1.5,0,-5,LEVEL6,bear,25.0,2025-04-11T16:00:00+00:00,84066.37,-156.19,7647.11,SL,2
SHORT,85174.5,85174.5,83570.47965056289,86377.51526207782,2025-04-19T04:00:00+00:00,5297,802.0101747185511,152.94216713767813,1.0,1,-5,LEVEL6,neutral,32.0,2025-04-20T20:00:00+00:00,85174.5,-0.12,7646.99,TRAIL_SL,9
SHORT,85138.8,86139.05169929896,83805.1310676014,86139.05169929896,2025-04-20T20:00:00+00:00,5307,666.8344661993052,152.93972006300393,1.0,0,-5,LEVEL6,neutral,37.0,2025-04-21T04:00:00+00:00,86139.05,-153.06,7493.92,SL,1
SHORT,113662.4,114914.60856636078,111157.9828672784,114914.60856636078,2025-09-30T04:00:00+00:00,6281,834.8057109071948,149.87847862622286,1.5,0,-5,LEVEL6,bear,50.0,2025-10-01T08:00:00+00:00,114914.61,-150.0,7343.93,SL,6
SHORT,106750.1,109826.08388936686,100598.1322212663,109826.08388936686,2025-10-17T12:00:00+00:00,6385,2050.6559262445667,146.87851099804035,1.5,0,-5,LEVEL6,bear,22.0,2025-10-20T00:00:00+00:00,109826.08,-147.0,7196.93,SL,14
SHORT,111079.1,110354.82612581878,106733.45675491265,113251.92162254368,2025-10-20T12:00:00+00:00,6403,1448.5477483624536,143.93859072190358,1.5,2,-5,LEVEL6,bear,29.0,2025-10-21T12:00:00+00:00,110354.83,47.86,7244.79,TRAIL_SL,5
SHORT,108284.1,110989.64030220402,104676.71293039466,110989.64030220402,2025-10-22T04:00:00+00:00,6413,1803.6935348026748,144.89587830926473,1.0,0,-5,LEVEL6,neutral,25.0,2025-10-23T16:00:00+00:00,110989.64,-145.01,7099.78,SL,8
SHORT,107034.7,106317.07950317659,102728.97701905957,109187.56149047021,2025-11-03T16:00:00+00:00,6488,1435.2409936468073,141.9956424090265,1.5,2,-5,LEVEL6,bear,42.0,2025-11-04T16:00:00+00:00,102728.98,283.88,7383.66,TP,5
SHORT,101946.1,104674.23080349059,96489.83839301883,104674.23080349059,2025-11-05T04:00:00+00:00,6497,1818.7538689937246,147.67319617510898,1.5,0,-5,LEVEL6,bear,23.0,2025-11-09T04:00:00+00:00,101898.2,2.47,7386.13,TIME_EXIT,24
SHORT,102198.2,104076.37147095849,98441.85705808303,104076.37147095849,2025-11-09T08:00:00+00:00,6522,1252.1143139723247,147.72268975988786,1.5,0,-5,LEVEL6,bear,22.0,2025-11-09T16:00:00+00:00,104076.37,-147.84,7238.29,SL,1
